^SAMPLE = GSM154769
33148_at	34.192616	0.05447042
33197_at	214.87894	0.05447042
33304_at	222.77554	0.16293502
33307_at	108.3189	0.07383013
33323_r_at	8194.826	9.765625E-4
33494_at	233.45306	0.0048627853
33579_i_at	23.843422	0.56934786
33646_g_at	100.097046	0.03936541
336_at	247.20871	0.16293502
33736_at	249.15129	0.002616942
33760_at	201.67883	0.007542908
33767_at	52.76208	0.16293502
33768_at	702.674	0.01144737
33778_at	1038.1458	9.5939636E-4
33814_at	323.60062	0.017000496
33850_at	402.54837	3.2150745E-4
34031_i_at	203.11374	7.368922E-4
34063_at	52.31235	0.04899466
34187_at	36.002064	0.20402211
34206_at	494.4592	0.003066659
34210_at	193.59578	0.10573822
34221_at	264.91833	0.043967783
34225_at	353.80466	0.0016022921
34260_at	177.73991	0.089405
34406_at	340.14874	0.017000496
34408_at	344.61334	9.5939636E-4
34449_at	88.804344	0.03133571
34471_at	120.54094	0.2674626
34478_at	33.651707	0.39799362
34689_at	1016.6826	0.04899466
34697_at	76.64756	0.014936566
34726_at	178.47037	0.007542908
34764_at	245.75603	4.6753883E-4
34846_at	359.20526	0.06686497
34858_at	660.43176	0.002616942
34868_at	269.13754	0.027859688
35147_at	502.37393	0.06686497
35148_at	73.66201	0.25072372
35150_at	562.41565	4.6753883E-4
35156_at	655.9503	8.046031E-4
35160_at	403.55334	0.014936566
35179_at	174.57944	0.16293502
35201_at	833.02563	9.5939636E-4
35254_at	449.969	8.046031E-4
35265_at	260.1468	0.006531954
35436_at	110.86261	0.027859688
35617_at	196.04454	0.06686497
35626_at	455.857	0.001081109
35666_at	1175.8573	0.0035848618
35671_at	666.3982	0.0013538599
35685_at	831.0906	4.6753883E-4
35776_at	536.87524	3.8820505E-4
35820_at	1342.3015	8.046031E-4
35846_at	120.26106	0.28474712
35974_at	36.243935	0.20402211
36004_at	391.799	0.2189833
36019_at	973.822	2.1886826E-4
36030_at	515.5408	0.024710953
36084_at	270.39688	0.017000496
36129_at	970.49316	0.009985447
36475_at	280.01	0.0011410713
36499_at	684.4996	5.617142E-4
36545_s_at	66.2041	0.089405
36552_at	305.77484	0.0193035
36553_at	747.60144	0.001891613
36554_at	664.59796	5.617142E-4
36564_at	461.5209	0.009985447
